
 Avg. Latency per case 
 avg cn1  avg cn2  avg cn3  avg cn4  avg cn5 
   608.2    528.6    571.9    526.2    563.7 
   515.5    475.4    580.9    532.7    648.7 
   578.3    426.1    454.5    467.4    454.9 
   501.3    529.3    523.5    569.5    498.7 
   437.0    485.5    574.6    548.1    623.3 
   452.1    479.8    496.8    537.7    519.9 
   561.8    423.6    604.3    520.7    556.9 
   547.2    590.0    518.2    574.5    594.4 
   453.1    440.1    518.0    482.0    461.1 
   493.4    574.9    502.5    489.9    563.2 
   530.4    506.3    474.2    552.2    570.4 
   544.7    486.9    552.2    467.1    507.0 
   547.1    551.4    566.4    487.5    528.4 

 Indiv. Chain Latency as single chain 
  chain 1  chain 2  chain 3  chain 4  chain 5 
   146.3     51.4   1495.8    548.1   1000.2 
  1198.4   1001.9    695.0    255.2   1039.0 
  1094.1   1103.1    502.0    505.0    101.0 
   305.0    500.9   1188.6    119.9     21.7 
    55.0    298.3     10.0   1198.8   1078.9 
    99.5    398.8   1499.6   1497.8    249.1 
   149.0    200.9    210.9    682.3    692.7 
    51.0   1010.0     21.0    602.5    974.7 
  1003.5    504.9    100.0    596.3    201.0 
   513.0   1002.0     39.8     53.5   1100.0 
  1996.8    549.1    509.8    519.7    295.6 
    22.0   1019.5   1003.7     55.0   1006.3 
  1487.2   1994.7   1005.9    201.0     52.0 
   519.7     20.0     98.4     15.1    250.0 
  1009.7    101.1     52.0    505.0    210.4 
   249.2    695.8    205.0   1001.0    219.9 
  1195.8   1000.2    704.6    588.1   1491.9 
    21.0      9.9     30.1    202.0    552.5 
  1049.5   1001.0    545.6     19.9    501.6 
  1000.2   1041.1   1004.9    210.1   1019.9 
    39.9    119.6    502.0    202.0    618.0 
    54.9   1006.2   1010.0     29.2   1002.0 
  1019.7     25.1   1010.2     69.2    505.7 
  1019.8      9.7    244.2    501.9   1009.9 
  1164.2    120.0    248.7     10.0    248.4 
   100.9   1004.9   1002.8    210.1    693.7 
   545.8    210.1    501.0    396.2    212.4 
   110.2   1002.0   1038.1    149.7    210.1 
   298.5    101.0   1048.6   1198.2    206.5 
  1005.3      3.0    598.6   1097.5      6.9 
   113.8     22.3    504.8    693.1   1000.1 
   204.8     52.0   1101.2      9.9     60.0 
   516.7     59.8    249.3    263.7   1098.8 
   217.9    119.1    295.6     21.0    109.9 
  1019.9   1001.0   1098.4     68.7   1009.9 
    24.8   1001.0   1001.0      6.0   1973.8 
    52.0    368.9    505.0    102.0    103.4 
  1517.0     22.0      6.0     70.1   1971.6 
   198.7    502.2    509.8     55.0    293.9 
   149.8   1009.9     51.2      3.9    714.3 
    69.9    389.2     70.0    502.0    997.1 
   504.1    501.0   1178.7    549.6   1048.7 
   505.0    524.6    221.8      7.0    209.7 
  1012.1     52.0    501.0    209.8    104.5 
   120.0    118.7   1021.5   1049.3      4.0 
  1099.9   1049.9   1498.7   1009.8    549.3 
    29.9    106.9    118.7    540.2    393.6 
  1504.2    117.9     29.7    502.0     69.6 
  1560.1    201.9    509.7   1001.2    591.4 
   549.4    297.3    101.0   1004.9    202.0 
     6.9   2002.9   1096.5    219.8   1493.2 
  1018.9   1199.2   1997.0     29.4    295.2 
   998.2   1197.1    501.2   1048.4    204.9 
   247.2    249.7    102.9     52.0    205.0 
   501.5    207.6    502.0    501.0    515.1 
  1049.3    519.7    502.0   1050.1    107.0 
    29.8    519.9    100.1   1107.2    500.9 
  1048.2   1496.1    549.9    100.1    147.0 
  1033.5    519.7   1100.9     69.1    210.0 
    30.0    200.6    149.8    540.2   1002.0 
   245.1    509.7    109.9   1991.3    198.0 
  1199.1   1000.5    217.6   1099.0   1034.6 
  1984.3    500.4    247.0   1010.0     70.0 
   119.5    205.0   1452.1    209.9    523.4 
  1024.8   1189.5    149.9     68.0   1049.8 
  1058.7    102.0    502.3    250.0     39.2 
  1019.9   1002.0   1019.8    514.2     39.4 
   202.0    245.7    501.0    501.0    297.6 
   953.0    549.0   1998.0   1480.4     68.5 
   204.6      4.0    502.0    107.9    551.9 
   699.2     55.0   1011.2     59.8   1467.0 
    24.7   1466.1    118.6   1087.9     19.7 
   200.1    299.8   1498.3    101.0     14.9 
  1979.6   1481.2    101.9   1000.6    500.0 
   201.0    505.0    113.6     14.7     29.2 
  1002.0    201.0    119.8     15.0   1198.3 
   599.1     99.9     99.5    507.8   1167.9 
  1012.1     12.0    206.8   1097.0     52.5 
  1134.0    248.8   1001.0     54.5    513.6 
    99.6     51.0    219.1    248.1   1001.0 
  1185.6   1048.2    998.3   1980.9   1019.7 
    11.9   1020.2   1001.5     12.0   1180.2 
    39.7    249.2    298.6   1019.7   1491.9 
   502.0    119.8    292.1   1448.5     24.9 
  1076.7     29.7    501.0     11.0    502.4 
   119.6     69.8   1001.0    399.8    690.4 
   502.0    500.4    105.1   1027.8    510.0 
   509.9    519.0    219.9    512.5     55.0 
  1009.6    696.8   1499.9   1049.7    201.0 
   218.9    519.6     98.3    218.6     69.6 
   118.5    995.7     29.8   1010.9   1001.0 
   398.8   1098.2     69.5   1049.8    978.6 
    51.0    103.1    997.2    973.6    695.5 
  1178.7    209.4   1955.9   1002.0    502.6 
   248.1    119.9     11.0    994.1    500.5 
  1001.0   1482.4    205.2    218.8   1009.7 
   993.0     69.9    501.0      6.0   1914.6 
    29.8    238.8    209.8   1098.6    204.9 
   699.5   1100.3    600.4    992.7     11.9 
   502.1    201.2    106.4    549.7      6.9 
   246.8    219.9    501.0     51.7     21.0 
   501.0    698.1    202.4   1048.6    969.4 
   592.2    546.5   1195.8     11.0    207.7 
     3.0   1195.9   1002.0    504.9     12.0 
   505.0    607.3     54.9   1480.0    119.6 
  1009.7    102.1    509.5     52.4   1958.1 
   200.2    501.0   1019.6    598.0     21.0 
   249.0     29.9    502.0     20.5    505.5 
  1501.9    505.4    687.2    700.1    500.1 
   204.7   1000.1    149.7    390.9    699.8 
   549.8    702.2    200.3    111.0    965.3 
   109.9    120.2   1000.3      9.9    148.5 
  1004.8    119.7   1001.3   1199.1    219.4 
   200.3     53.1    198.2   1019.3   1018.9 
    50.6   1197.0    697.6    100.1   1047.7 
    60.1     29.5   1001.1    504.8   1001.0 
     6.2    119.8    502.2    246.4    104.8 
   598.3     52.0    249.6   1028.4     11.5 
   249.0    695.6     19.9    288.6   1031.4 
  1964.3     29.8   1497.8   1484.5    146.6 
   204.9    519.6     39.5   1197.6   1047.8 
    15.1     55.0    509.8    200.7    519.4 
   598.8    108.9      6.0   1050.0   1007.8 
   501.4   1199.2    109.5    509.5    102.0 
  1048.9    693.5     60.0    299.1     14.9 
  1002.4    505.0     68.9    537.6    694.5 
  1002.0    201.9    547.7   1012.0   1004.7 
   104.8    253.5    201.9     54.9   1001.4 
