
 Indiv Chain Sum of Exe. 
  chain 1  chain 2  chain 3  chain 4  chain 5 
     1.6     32.8      1.9      9.7      0.5 
    11.6      3.8     20.7      7.9     43.1 
     3.4     24.4      2.7     12.9      0.9 
     1.8      3.9      1.8      6.6     37.6 
     3.3     19.1      2.2      0.1     12.0 
     0.1      1.8      0.1     43.4      0.1 
     5.2      0.2      3.0     20.2     38.6 
    58.1     19.6      1.2      3.7      6.5 
     5.6     74.6      1.5      5.8      5.4 
    60.5      0.8     26.4      5.7      4.3 
    39.4     31.9      0.3      1.0      4.3 
     7.1     12.5      9.8      2.7      0.2 
    19.9     28.2     30.6      2.9      3.8 
     6.3      0.7      2.9     15.5      5.2 
    15.3     20.6     30.8      6.0      4.5 
    53.5      0.4      1.8     23.6      1.7 
     1.7     20.7      4.8      4.2      1.0 
    27.8      1.3     13.0     11.1     14.1 
     0.2      1.1      7.9     46.0      0.8 
     3.7      9.7     18.2      0.1      0.3 
     0.2      8.0      0.5      2.9     57.0 
     1.1     57.9     10.0      0.9      3.6 
    14.7      3.9      0.7      0.9      4.1 
     7.0      4.9      0.3      7.7      0.8 
     0.2     48.2      0.6      0.1      3.3 
     7.4      0.7      7.6     58.4      1.4 
     1.2     10.4     24.3     20.8     27.9 
     4.3     19.5      8.1     63.7      0.3 
    14.1      4.6     21.9      3.9      3.3 
    66.7      9.1     22.2     11.0      3.4 
    50.9     28.2      6.5      1.6      2.9 
    86.3     15.6      2.0     13.3     58.7 
    35.8     18.1      2.3      2.3      0.2 
     0.0      0.2     13.9     20.8      4.1 
     0.7      0.9     22.9      0.4      6.2 
    52.7     18.5      7.4      1.9     17.2 
     0.1     27.1     12.4      2.0      1.6 
     0.8      1.0      6.8      5.7      0.7 
     8.5     46.3     45.0     31.5     23.8 
    20.8      2.2     18.4     11.4      7.7 
     8.1      6.2     34.6     26.2      0.5 
    11.9     63.6      7.8      0.1     12.8 
     6.3     10.3      1.6     13.6     28.1 
     3.1      3.2     32.6      6.2     56.9 
     0.5      4.3     25.0      3.4      1.4 
    28.2      9.0      0.3      5.5      9.8 
     1.7      0.8      6.5      3.1      0.7 
     5.7     14.0     12.1      2.5     21.2 
     5.5     20.2      0.5      4.3     54.7 
     0.4      1.3      9.5      2.2      7.3 
     0.2     77.3      0.1      1.1      0.3 
     0.7     43.8      0.7      0.1      2.8 
    49.6      5.8      4.9     38.9      1.1 
    10.7      0.3      5.9     77.4      8.7 
     5.7      0.1      0.1     12.7      1.0 
     2.4     25.9      7.8      5.0      2.2 
    29.6      0.2      0.2      7.1     15.5 
     4.8     54.5      7.5      6.9      2.9 
     8.3     26.8     15.2     11.7     37.8 
     1.2     30.0      4.8     39.8     17.3 
