
 Avg. Latency per case 
 avg cn1  avg cn2 
   576.4 
   568.5 
   558.6 
   547.4 
   540.1 
Indiv. Chain Latency 
  chain 1  chain 2 
   572.9 
   565.8 
   589.7 
   577.2 
   576.1 
   532.5 
   595.7 
   572.4 
   559.9 
   581.9 
   529.4 
   591.8 
   572.2 
   524.9 
   574.7 
   524.3 
   585.1 
   544.2 
   523.9 
   559.6 
   524.0 
   580.4 
   529.8 
   521.6 
   544.9 
Indiv Chain Sum of Exe. 
  chain 1  chain 2 
    68.5 
    74.6 
    79.2 
   126.5 
    63.6 
    68.5 
    74.6 
    79.2 
   126.5 
    63.6 
    68.5 
    74.6 
    79.2 
   126.5 
    63.6 
    68.5 
    74.6 
    79.2 
   126.5 
    63.6 
    68.5 
    74.6 
    79.2 
   126.5 
    63.6 
Indiv task (m,k) in each chain 
 #set #tsk  chain 1  chain 2 
   1    1    (1,2) 
   1    2  (10,11) 
   1    3  (17,18) 
   1    4  (10,11) 
   1    5  (10,11) 
   2    1    (1,2) 
   2    2    (6,7) 
   2    3  (25,26) 
   2    4  (13,14) 
   2    5  (23,24) 
   3    1    (1,2) 
   3    2  (16,17) 
   3    3    (8,9) 
   3    4   (9,10) 
   3    5    (6,7) 
   4    1    (1,2) 
   4    2  (23,24) 
   4    3    (7,8) 
   4    4  (49,50) 
   4    5    (6,7) 
   5    1    (1,2) 
   5    2  (11,12) 
   5    3  (15,16) 
   5    4    (8,9) 
   5    5  (10,11) 
   6    1  (10,11) 
   6    2    (1,2) 
   6    3  (17,18) 
   6    4  (10,11) 
   6    5   (9,10) 
   7    1    (6,7) 
   7    2    (1,2) 
   7    3  (24,25) 
   7    4  (13,14) 
   7    5  (22,23) 
   8    1  (17,18) 
   8    2    (1,2) 
   8    3    (8,9) 
   8    4   (9,10) 
   8    5    (6,7) 
   9    1  (25,26) 
   9    2    (1,2) 
   9    3    (7,8) 
   9    4  (49,50) 
   9    5    (6,7) 
  10    1  (12,13) 
  10    2    (1,2) 
  10    3  (15,16) 
  10    4    (8,9) 
  10    5  (10,11) 
  11    1  (10,11) 
  11    2  (18,19) 
  11    3    (1,2) 
  11    4   (9,10) 
  11    5   (9,10) 
  12    1    (6,7) 
  12    2  (25,26) 
  12    3    (1,2) 
  12    4  (13,14) 
  12    5  (22,23) 
  13    1  (17,18) 
  13    2   (9,10) 
  13    3    (1,2) 
  13    4   (9,10) 
  13    5    (6,7) 
  14    1  (23,24) 
  14    2    (7,8) 
  14    3    (1,2) 
  14    4  (46,47) 
  14    5    (6,7) 
  15    1  (12,13) 
  15    2  (15,16) 
  15    3    (1,2) 
  15    4    (8,9) 
  15    5  (10,11) 
  16    1  (10,11) 
  16    2  (17,18) 
  16    3  (10,11) 
  16    4    (1,2) 
  16    5   (9,10) 
  17    1    (6,7) 
  17    2  (25,26) 
  17    3  (13,14) 
  17    4    (1,2) 
  17    5  (22,23) 
  18    1  (17,18) 
  18    2    (8,9) 
  18    3   (9,10) 
  18    4    (1,2) 
  18    5    (6,7) 
  19    1  (23,24) 
  19    2    (7,8) 
  19    3  (49,50) 
  19    4    (1,2) 
  19    5    (6,7) 
  20    1  (12,13) 
  20    2  (15,16) 
  20    3    (8,9) 
  20    4    (1,2) 
  20    5  (10,11) 
  21    1  (10,11) 
  21    2  (17,18) 
  21    3  (10,11) 
  21    4  (10,11) 
  21    5    (1,2) 
  22    1    (6,7) 
  22    2  (25,26) 
  22    3  (13,14) 
  22    4  (23,24) 
  22    5    (1,2) 
  23    1  (16,17) 
  23    2    (8,9) 
  23    3   (9,10) 
  23    4    (6,7) 
  23    5    (1,2) 
  24    1  (23,24) 
  24    2    (7,8) 
  24    3  (49,50) 
  24    4    (6,7) 
  24    5    (1,2) 
  25    1  (11,12) 
  25    2  (15,16) 
  25    3    (8,9) 
  25    4  (10,11) 
  25    5    (1,2) 
