
 Ratio of chain completed per utilization 
     cn1      cn2      cn3      cn4      cn5 
  1.0000   0.9680   0.8860   0.7840   0.6440 
  1.0000   0.9640   0.8690   0.7340   0.5760 
  1.0000   0.9530   0.8520   0.7000   0.5210 
  1.0000   0.9430   0.8120   0.6550   0.4500 
  1.0000   0.9270   0.7960   0.5970   0.3920 
  1.0000   0.9050   0.7370   0.5330   0.3340 
  1.0000   0.9020   0.7350   0.5000   0.2940 
  1.0000   0.9100   0.7230   0.4780   0.2390 
  1.0000   0.8940   0.7050   0.4300   0.1980 
  1.0000   0.8820   0.6550   0.3970   0.1540 
  1.0000   0.8880   0.6420   0.3650   0.1470 
  1.0000   0.8720   0.6000   0.3140   0.0990 
  1.0000   0.8650   0.6010   0.2750   0.0870 

 Ratio of chain delayed per utilization 
     cn1      cn2      cn3      cn4      cn5 
  0.0000   0.0320   0.1030   0.1500   0.1920 
  0.0000   0.0360   0.1190   0.1870   0.2320 
  0.0000   0.0470   0.1350   0.2080   0.2480 
  0.0000   0.0570   0.1560   0.2220   0.2830 
  0.0000   0.0730   0.1710   0.2660   0.2950 
  0.0000   0.0950   0.2180   0.2810   0.2910 
  0.0000   0.0980   0.2150   0.3130   0.3220 
  0.0000   0.0900   0.2310   0.3460   0.3590 
  0.0000   0.1060   0.2360   0.3650   0.3630 
  0.0000   0.1180   0.2830   0.3650   0.3470 
  0.0000   0.1120   0.3040   0.3820   0.3480 
  0.0000   0.1280   0.3380   0.4060   0.3430 
  0.0000   0.1350   0.3340   0.4340   0.3190 

 Ratio of chain not-converged per utilization 
     cn1      cn2      cn3      cn4      cn5 
  0.0000   0.0000   0.0110   0.0660   0.1640 
  0.0000   0.0000   0.0120   0.0790   0.1920 
  0.0000   0.0000   0.0130   0.0920   0.2310 
  0.0000   0.0000   0.0320   0.1230   0.2670 
  0.0000   0.0000   0.0330   0.1370   0.3130 
  0.0000   0.0000   0.0450   0.1860   0.3750 
  0.0000   0.0000   0.0500   0.1870   0.3840 
  0.0000   0.0000   0.0460   0.1760   0.4020 
  0.0000   0.0000   0.0590   0.2050   0.4390 
  0.0000   0.0000   0.0620   0.2380   0.4990 
  0.0000   0.0000   0.0540   0.2530   0.5050 
  0.0000   0.0000   0.0620   0.2800   0.5580 
  0.0000   0.0000   0.0650   0.2910   0.5940 

 Avg. Latency per case 
 avg cn1  avg cn2  avg cn3  avg cn4  avg cn5 
  1168.7   1152.3   1175.7   1180.3   1186.3 
  1164.1   1161.5   1172.5   1191.7   1163.0 
  1168.1   1179.4   1175.7   1180.7   1166.8 
  1158.8   1183.7   1154.0   1167.4   1170.9 
  1171.7   1165.3   1165.5   1168.1   1161.3 
  1200.1   1160.0   1155.5   1164.0   1162.2 
  1167.0   1156.7   1180.0   1174.4   1177.6 
  1182.2   1149.9   1168.9   1186.0   1170.2 
  1155.5   1173.8   1179.5   1154.7   1180.7 
  1172.6   1145.5   1153.3   1173.9   1158.7 
  1140.5   1177.6   1158.7   1162.3   1161.9 
  1152.0   1155.7   1156.3   1167.2   1139.1 
  1134.3   1166.1   1157.6   1147.0   1160.5 

 Indiv. Chain Latency as single chain 
  chain 1  chain 2  chain 3  chain 4  chain 5 
  1636.4   1103.1    902.3   1633.0   1174.0 
  1490.4   1526.7   1267.3   1791.6   1408.5 
  1296.3   1562.5   1493.3   1030.1   1937.1 
  1096.6   1118.7    972.7    960.6    545.7 
  1017.1    944.7   1598.7   1213.4   1254.0 
  1371.0    862.6   1314.7   1346.5   1253.4 
  1001.0   1042.3   1120.9   1933.1   1110.2 
  1054.4   1775.9   1366.1   1376.2    919.4 
  1646.6   1457.9   1416.5   1145.5   1461.1 
   415.4   1365.4   1362.4   1062.3    843.9 
  1173.7   1307.8   1704.6   1702.7   1663.8 
  1002.9   1190.8   1026.9   1149.2   1187.1 
   811.4    887.3    494.6    888.3   1199.3 
  1755.6    865.3    886.5   1293.5   1160.7 
  1659.8   1285.7   1100.2    996.1   1136.0 
   798.2   1394.1   1968.9    972.2   1451.5 
   747.7    771.5   1646.1   1535.0   1019.5 
   845.0    746.0   1109.5   1161.6    987.5 
  1042.3   1136.5   1075.1    955.1   1422.2 
  1484.4   1077.1   1535.9   1670.8    939.5 
  1118.7   1055.8   1316.8   1348.7   1487.6 
   562.1   1136.3   1643.3   1044.8   1575.9 
   780.2    574.4    866.0    837.0    975.6 
  1866.3    962.0   1621.1    824.8   1210.7 
  1018.7   1677.5    746.8   1151.5   1189.5 
  1208.5   1529.1   1230.6   1390.7   1601.3 
  1004.7   1264.2   1967.4   1617.8   1552.8 
  1262.5    953.7    990.0   1169.1    446.1 
  1020.9   1787.5   1310.6   1466.7   1546.8 
   310.2    191.7    862.8   1087.4   1445.5 
  1200.7    820.0   1666.2    888.5    751.3 
