
 Ratio of chain completed per utilization 
     cn1      cn2      cn3      cn4      cn5 
  1.0000   1.0000   0.9990   0.9980   0.9970 
  1.0000   1.0000   1.0000   0.9990   0.9940 
  1.0000   1.0000   0.9990   0.9970   0.9940 
  1.0000   1.0000   1.0000   0.9970   0.9930 
  1.0000   1.0000   0.9990   0.9920   0.9810 
  1.0000   0.9990   0.9990   0.9950   0.9850 
  1.0000   0.9990   0.9980   0.9930   0.9750 
  1.0000   0.9980   0.9960   0.9900   0.9770 
  1.0000   1.0000   0.9970   0.9880   0.9670 
  1.0000   0.9980   0.9930   0.9810   0.9560 
  1.0000   0.9990   0.9930   0.9790   0.9510 
  1.0000   0.9970   0.9910   0.9700   0.9310 
  1.0000   0.9970   0.9890   0.9630   0.9140 

 Ratio of chain delayed per utilization 
     cn1      cn2      cn3      cn4      cn5 
  0.0000   0.0000   0.0010   0.0020   0.0030 
  0.0000   0.0000   0.0000   0.0010   0.0060 
  0.0000   0.0000   0.0010   0.0030   0.0060 
  0.0000   0.0000   0.0000   0.0030   0.0070 
  0.0000   0.0000   0.0010   0.0080   0.0190 
  0.0000   0.0010   0.0010   0.0050   0.0150 
  0.0000   0.0010   0.0020   0.0070   0.0250 
  0.0000   0.0020   0.0040   0.0100   0.0230 
  0.0000   0.0000   0.0030   0.0120   0.0330 
  0.0000   0.0020   0.0070   0.0190   0.0440 
  0.0000   0.0010   0.0070   0.0210   0.0490 
  0.0000   0.0030   0.0090   0.0300   0.0690 
  0.0000   0.0030   0.0110   0.0370   0.0860 

 Ratio of chain not-converged per utilization 
     cn1      cn2      cn3      cn4      cn5 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
