
 Ratio of chain completed per utilization 
     cn1      cn2      cn3      cn4      cn5 
  1.0000   1.0000   1.0000   0.0000   0.0000 
  1.0000   1.0000   0.0000   0.0000   0.0000 
  1.0000   0.0000   0.0000   0.0000   0.0000 
  1.0000   0.0000   0.0000   0.0000   0.0000 
  1.0000   0.0000   0.0000   0.0000   0.0000 
  1.0000   0.0000   0.0000   0.0000   0.0000 
  1.0000   1.0000   1.0000   1.0000   1.0000 
  1.0000   0.0000   0.0000   0.0000   0.0000 
  1.0000   0.0000   0.0000   0.0000   0.0000 
  1.0000   1.0000   0.0000   0.0000   0.0000 
  1.0000   0.0000   0.0000   0.0000   0.0000 
  1.0000   0.0000   0.0000   0.0000   0.0000 
  1.0000   0.0000   0.0000   0.0000   0.0000 

 Ratio of chain delayed per utilization 
     cn1      cn2      cn3      cn4      cn5 
  0.0000   0.0000   0.0000   1.0000   1.0000 
  0.0000   0.0000   1.0000   1.0000   1.0000 
  0.0000   1.0000   1.0000   1.0000   1.0000 
  0.0000   1.0000   1.0000   1.0000   1.0000 
  0.0000   1.0000   1.0000   1.0000   1.0000 
  0.0000   1.0000   1.0000   1.0000   1.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   1.0000   1.0000   1.0000   1.0000 
  0.0000   1.0000   1.0000   1.0000   1.0000 
  0.0000   0.0000   1.0000   1.0000   1.0000 
  0.0000   1.0000   1.0000   1.0000   1.0000 
  0.0000   1.0000   1.0000   1.0000   1.0000 
  0.0000   1.0000   1.0000   1.0000   1.0000 

 Ratio of chain not-converged per utilization 
     cn1      cn2      cn3      cn4      cn5 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 

 Indiv. Chain WCRT in multi-chain model 
  chain 1  chain 2  chain 3  chain 4  chain 5 
    23.3     28.3   1037.4   1078.2    587.8 
    17.0   1051.0     89.0    274.6    181.8 
    29.1    529.1    572.1     82.5    181.9 
     1.5    208.9    108.5    119.6     48.5 
    60.5     65.6    590.8    658.2    161.4 
     0.6   1021.0    108.1    585.5     89.1 
     1.5    513.9    139.9     97.1    640.1 
   105.8    155.8    313.7    129.3    182.0 
    18.5   1036.9    100.3    199.3    206.7 
     2.0     22.0   1037.2     68.4     59.7 
    63.2    113.2    171.8     96.2    170.3 
     8.8   1070.4    108.6    174.0   1310.5 
    82.1   1082.1    608.6    250.9    240.9 
