
 Ratio of chain completed per utilization 
     cn1      cn2      cn3      cn4      cn5 
  1.0000   1.0000   1.0000   1.0000   1.0000 
  1.0000   1.0000   0.0000   0.0000   0.0000 
  1.0000   1.0000   1.0000   1.0000   1.0000 
  1.0000   1.0000   1.0000   1.0000   1.0000 
  1.0000   0.0000   0.0000   0.0000   0.0000 
  1.0000   1.0000   1.0000   1.0000   0.0000 
  1.0000   1.0000   1.0000   1.0000   1.0000 
  1.0000   0.0000   0.0000   0.0000   0.0000 
  1.0000   1.0000   1.0000   0.0000   0.0000 
  1.0000   1.0000   1.0000   0.0000   0.0000 
  1.0000   0.0000   0.0000   0.0000   0.0000 
  1.0000   1.0000   0.0000   0.0000   0.0000 
  1.0000   1.0000   1.0000   0.0000   0.0000 

 Ratio of chain delayed per utilization 
     cn1      cn2      cn3      cn4      cn5 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   1.0000   1.0000   1.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   1.0000   1.0000   1.0000   1.0000 
  0.0000   0.0000   0.0000   0.0000   1.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   1.0000   1.0000   1.0000   1.0000 
  0.0000   0.0000   0.0000   1.0000   1.0000 
  0.0000   0.0000   0.0000   1.0000   1.0000 
  0.0000   1.0000   1.0000   1.0000   1.0000 
  0.0000   0.0000   1.0000   1.0000   1.0000 
  0.0000   0.0000   0.0000   1.0000   1.0000 

 Ratio of chain not-converged per utilization 
     cn1      cn2      cn3      cn4      cn5 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000 
