
 Indiv. Chain Reaction time and WCRT in multi-chain model without deadline miss termination 
  chnPrio   ReactT     WCRT   origID 
Min. utilization: 0.210 
       1   11.362    0.362       18 
       2    6.362    2.362        9 
       3    6.443    2.443       12 
       4   30.849   10.849        5 
       5   31.834   11.834       16 
       6   32.406   12.406        8 
       7   32.971   12.971       17 
       8   33.352   13.352       19 
       9   33.870   13.870       22 
      10   34.107   14.107       25 
      11   34.554   14.554       23 
      12   69.991   29.991       24 
      13   70.216   30.216        4 
      14   70.348   30.348       13 
      15   70.382   30.382       14 
      16  171.657   71.657        3 
      17  289.533  139.533        6 
      18 3393.603 1393.603        1 
      19  345.118  145.118        2 
      20  345.515  145.515       21 
      21  345.896  145.896       11 
      22 3406.727 1406.727       15 
      23 3406.730 1406.730       20 
      24 3406.733 1406.733        7 
      25 3406.737 1406.737       10 

Min. utilization: 0.309 
       1   21.888    1.888        5 
       2   31.888   11.888       15 
       3   33.389   13.389        6 
       4   34.780   14.780       13 
       5   37.118   17.118        4 
       6   38.313   18.313       10 
       7   38.698   18.698       14 
       8   39.393   19.393        9 
       9   78.933   38.933       11 
      10   79.121   39.121        2 
      11  198.035   98.035        7 
      12  392.003  196.002        8 
      13  396.303  196.303       12 
      14  396.686  196.686        3 
      15  397.229  197.229        1 

Min. utilization: 0.287 
       1   12.939    0.939        6 
       2 2170.960 1085.480       14 
       3 2171.185 1085.592        4 
       4   16.051    6.051       15 
       5  310.091  110.091        8 
       6   31.311   11.311        7 
       7 2310.238 1155.119       11 
       8   66.157   26.157        1 
       9   66.388   26.388       10 
      10   66.771   26.771       12 
      11  319.328  119.328       16 
      12  319.418  119.418        5 
      13  319.533  119.533        2 
      14 3184.750 1184.750        3 
      15 3184.755 1184.755       13 
      16 3184.759 1184.759       17 
      17 3184.762 1184.762        9 

Min. utilization: 0.234 
       1    2.100    0.100       23 
       2   61.103   21.103       10 
       3   31.442   11.442       28 
       4   13.321    6.661       22 
       5  234.196  117.098       13 
       6   17.821    7.821       14 
       7   17.982    7.982       18 
       8   34.173   14.173       15 
       9   34.632   14.632        6 
      10   35.127   15.127       21 
      11   35.425   15.425       20 
      12   35.569   15.569       33 
      13  277.524  138.762        3 
      14   36.710   16.710       30 
      15   71.277   31.277       17 
      16 2797.748 1398.874       29 
      17   71.953   31.953       26 
      18   72.308   32.308       24 
      19   72.547   32.547        8 
      20   73.378   33.378        5 
      21   73.820   33.820       16 
      22 3057.802 1528.901        9 
      23  356.616  156.616       32 
      24  356.627  156.627       34 
      25  356.878  156.878       27 
      26  357.097  157.097       19 
      27  357.348  157.348        1 
      28  357.435  157.435       25 
      29  357.556  157.556        4 
      30  712.443  312.443       11 
      31  712.479  312.479       12 
      32  712.516  312.516       31 
      33  712.552  312.552       35 
      34 3544.490 1544.490       36 
      35 3544.495 1544.495        2 
      36 3544.498 1544.498        7 

Min. utilization: 0.263 
       1    2.108    0.108        1 
       2    3.108    1.108       14 
       3   62.592   22.592       31 
       4    7.502    3.502        6 
       5    7.608    3.608       22 
       6    7.714    3.714       30 
       7  129.339   64.669       21 
       8  164.921   64.921       33 
       9   28.688   14.344       11 
      10   10.185    5.092       13 
      11   35.347   15.347        7 
      12   35.752   15.752       27 
      13   37.419   17.419       12 
      14  177.469   77.469        3 
      15   38.309   18.309       29 
      16   38.827   18.827        9 
      17   39.076   19.076        2 
      18   39.550   19.550       15 
      19   39.951   19.951       19 
      20  193.417   93.417        5 
      21   78.623   38.623        4 
      22   79.071   39.071       20 
      23   79.487   39.487       28 
      24  199.297   99.297       18 
      25  199.441   99.441        8 
      26 3929.874 1929.874       24 
      27  395.318  195.318       17 
      28  395.376  195.376       25 
      29  395.460  195.460       23 
      30  395.610  195.610       16 
      31  395.716  195.716       10 
      32  395.785  195.785       32 
      33 3938.562 1938.562       26 

Min. utilization: 0.363 
       1    2.068    0.068       19 
       2 3035.123 1035.123       14 
       3    6.385    2.385        6 
       4    6.563    2.563       15 
       5    6.742    2.742       21 
       6  241.971  120.985       18 
       7 3207.423 1207.423        4 
       8 3207.607 1207.607       20 
       9   33.608   13.608        1 
      10   66.790   26.790        8 
      11   66.968   26.968        5 
      12  327.846  127.846       11 
      13  328.962  128.962       16 
      14 3266.756 1266.756        3 
      15 3266.760 1266.760        9 
      16 3266.764 1266.764       10 
      17 3266.768 1266.768       13 
      18 3266.772 1266.772        2 
      19 3266.778 1266.778       12 
      20 3266.781 1266.781        7 
      21 3266.784 1266.784       17 

Min. utilization: 0.247 
       1    2.205    0.205        7 
       2    3.205    1.205       12 
       3   32.869   12.869        8 
       4 3310.756 1310.756        6 
       5   68.546   28.546       10 
       6  269.448  134.724        9 
       7   69.191   29.191        3 
       8   69.484   29.484       13 
       9   69.539   29.539        4 
      10  338.549  138.549        2 
      11  338.749  138.749       15 
      12  338.951  138.951        5 
      13 3363.767 1363.767       11 
      14 3363.774 1363.774       14 
      15 3363.779 1363.779       16 
      16 3363.781 1363.781        1 

Min. utilization: 0.171 
       1    2.072    0.072        5 
       2    3.072    1.072        6 
       3    3.145    1.145        9 
       4  224.736  112.368        2 
       5 2249.123 1124.561       26 
       6    6.759    2.759       18 
       7   31.769   11.769       31 
       8   32.388   12.388       27 
       9 3167.617 1167.617       22 
      10   32.877   12.877       13 
      11   34.235   14.235        1 
      12   34.844   14.844       17 
      13   34.955   14.955       16 
      14  288.794  144.397       23 
      15   37.181   17.181       25 
      16   72.952   32.952       14 
      17  352.407  152.407        3 
      18   73.996   33.996       21 
      19   74.321   34.321       32 
      20  354.955  154.955       19 
      21  355.312  155.312       11 
      22 3526.248 1526.248        4 
      23  355.680  155.680       28 
      24  355.868  155.868       20 
      25  356.453  156.453       30 
      26 3533.676 1533.676       12 
      27 3533.682 1533.682       24 
      28 3533.687 1533.687        7 
      29 3533.692 1533.692       10 
      30 3533.696 1533.696        8 
      31 3533.701 1533.701       29 
      32 3533.702 1533.702       15 

Min. utilization: 0.311 
       1   20.777    0.777       22 
       2 3041.156 1041.156        2 
       3   15.826    5.826        9 
       4   15.957    5.957       21 
       5   16.199    6.199       23 
       6   27.056   12.056       11 
       7   16.888    6.888        7 
       8  118.554   59.277       20 
       9   33.695   13.695        5 
      10   34.099   14.099       16 
      11   67.211   27.211       18 
      12  136.722   68.361       10 
      13   68.983   28.983        6 
      14   69.068   29.068       17 
      15   69.398   29.398       14 
      16  170.938   70.938        1 
      17  337.806  137.806        8 
      18  337.934  137.934       13 
      19  338.259  138.259        4 
      20  338.397  138.397       12 
      21  338.603  138.603        3 
      22 3356.423 1356.423       24 
      23 3356.425 1356.425       15 
      24 3356.430 1356.430       19 

Min. utilization: 0.317 
       1    2.064    0.064       10 
       2  103.346   51.673       27 
       3    3.163    1.163       12 
       4    5.299    2.299        4 
       5    3.329    1.329       24 
       6   31.327   11.327       19 
       7    7.230    3.230        9 
       8    7.329    3.329       21 
       9    7.428    3.428       35 
      10  144.538   64.538        8 
      11   17.630    7.630       15 
      12   17.749    7.749       17 
      13  166.900   66.900       13 
      14  135.327   67.663       11 
      15   59.466   29.466       32 
      16   37.065   17.065        7 
      17   37.899   17.899        1 
      18  157.362   77.362       30 
      19   74.680   34.680        2 
      20   75.012   35.012        3 
      21  179.714   79.714       14 
      22  185.432   85.432        6 
      23  185.610   85.610       18 
      24  186.147   86.147        5 
      25  186.442   86.442       33 
      26  186.610   86.610       26 
      27  368.994  168.994       23 
      28  187.502   87.502       16 
      29  370.602  170.602       31 
      30  370.705  170.705       22 
      31  370.787  170.787       29 
      32  370.896  170.896       25 
      33  370.997  170.997       28 
      34  371.145  171.145       20 
      35  371.229  171.229       34 

