
 Count of not schedulable tasksets: 38 
 Mean of utilization:    0.486 
 Median of utilization:    0.489 
 Indiv. Chain Reaction time and WCRT in multi-chain model without deadline miss termination 
  chnPrio   ReactT     WCRT   origID 
Min. utilization: -1.000 
       1    2.332    0.332        2 
       2    3.332    1.332       15 
       3    3.663    1.663        6 
       4    6.015    3.007        8 
       5    7.377    3.688       17 
       6   15.478    7.739       26 
       7    1.000   -1.000       37 
       8    1.000   -1.000       42 
       9    1.000   -1.000       43 
      10    1.000   -1.000       52 
      11  199.000   -1.000       11 
      12   10.000   -1.000        9 
      13   19.000   -1.000       30 
      14  100.000   -1.000       10 
      15   20.000   -1.000       24 
      16  100.000   -1.000       36 
      17    1.000   -1.000       13 
      18    1.000   -1.000       33 
      19  199.000   -1.000       55 
      20    1.000   -1.000        5 
      21   20.000   -1.000       38 
      22   39.000   -1.000        3 
      23   19.000   -1.000       35 
      24   19.000   -1.000       39 
      25  109.000   -1.000       12 
      26   19.000   -1.000       48 
      27   19.000   -1.000       44 
      28   39.000   -1.000       46 
      29   19.000   -1.000       18 
      30   19.000   -1.000       40 
      31   19.000   -1.000       49 
      32   19.000   -1.000       31 
      33   39.000   -1.000       29 
      34   39.000   -1.000       50 
      35   39.000   -1.000       23 
      36  119.000   -1.000        7 
      37   39.000   -1.000       41 
      38   39.000   -1.000       21 
      39   39.000   -1.000       19 
      40   39.000   -1.000       32 
      41   39.000   -1.000       53 
      42  119.000   -1.000       25 
      43  199.000   -1.000       54 
      44   39.000   -1.000       27 
      45   39.000   -1.000       14 
      46   39.000   -1.000        4 
      47   39.000   -1.000       20 
      48  199.000   -1.000        1 
      49  199.000   -1.000       22 
      50  199.000   -1.000       16 
      51  199.000   -1.000       34 
      52  199.000   -1.000       51 
      53  199.000   -1.000       47 
      54  199.000   -1.000       28 
      55  199.000   -1.000       45 

Min. utilization: 0.431 
       1    2.218    0.218       18 
       2    3.218    1.218        1 
       3    3.429    1.429       11 
       4 2746.176 1373.088       15 
       5   33.918   13.918        3 
       6   35.356   15.356       12 
       7   37.180   17.180        8 
       8   37.743   17.743        5 
       9   38.865   18.865        9 
      10   77.617   37.617       17 
      11   77.806   37.806       13 
      12   77.916   37.916        2 
      13   78.702   38.702        6 
      14  391.369  191.369        4 
      15  391.445  191.445        7 
      16 3879.965 1879.965       10 
      17 3879.970 1879.970       14 
      18 3879.976 1879.976       16 
      19 3879.982 1879.982       19 

Min. utilization: 0.571 
       1   20.544    0.544       18 
       2  213.264  103.264       11 
       3   33.010   13.010       16 
       4   33.978   13.978       12 
       5   34.633   14.633       13 
       6   35.203   15.203       14 
       7   70.290   30.290        6 
       8  265.532  132.766        4 
       9  267.368  133.684        8 
      10   71.062   31.062        2 
      11   71.102   31.102       17 
      12   71.248   31.248        7 
      13  169.480   69.480       15 
      14  285.240  135.240        9 
      15  335.377  135.377        5 
      16  335.426  135.426        3 
      17  335.551  135.551       10 
      18  335.676  135.676        1 

Min. utilization: 0.468 
       1 2000.132    0.132        4 
       2   60.132   20.132       13 
       3    3.538    1.538       18 
       4  108.492   54.246       16 
       5  155.582   55.582       14 
       6  156.937   56.937        5 
       7   33.618   13.618       15 
       8   65.072   25.072        7 
       9   65.257   25.257        2 
      10   65.556   25.556       11 
      11   65.727   25.727       10 
      12  159.998   59.998        6 
      13  160.899   60.899       17 
      14  161.134   61.134        1 
      15  161.538   61.538        3 
      16  322.569  122.569        8 
      17  322.835  122.835        9 
      18  323.054  123.054       12 

Min. utilization: 0.568 
       1    4.317    0.317       19 
       2    6.317    2.317       24 
       3    6.633    2.633       15 
       4    6.759    2.759        2 
       5   16.906    6.906        3 
       6   17.016    7.016       13 
       7   17.127    7.127       21 
       8  337.991  137.991        5 
       9   34.834   14.834       16 
      10   37.011   17.011       22 
      11   37.048   17.048       28 
      12   37.356   17.356       26 
      13   74.680   34.680        4 
      14  332.281  166.140       11 
      15   74.890   34.890       25 
      16  186.007   86.007       20 
      17  186.268   86.268        9 
      18  186.705   86.705       18 
      19  187.141   87.141       27 
      20  187.578   87.578       30 
      21  187.783   87.783       12 
      22  373.646  173.646        7 
      23  373.822  173.822        1 
      24  373.954  173.954       29 
      25  373.982  173.982       10 
      26  374.101  174.101        6 
      27  374.123  174.123       14 
      28 3711.674 1711.674        8 
      29 3711.677 1711.677       17 
      30 3711.680 1711.680       23 
      31 3711.683 1711.683       31 

Min. utilization: 0.382 
       1    2.273    0.273       18 
       2 2316.914 1158.457       12 
       3 2318.858 1159.429       27 
       4    7.311    3.311        3 
       5    7.380    3.380       21 
       6   17.135    7.135       15 
       7   17.418    7.418       23 
       8   29.664   14.664       10 
       9 3363.844 1363.844       11 
      10   18.953    8.953        5 
      11   19.010    9.010       20 
      12   19.031    9.031       25 
      13  279.878  139.939        7 
      14   71.644   31.644       14 
      15   37.571   17.571       29 
      16   38.632   18.632       16 
      17   38.773   18.773       19 
      18   39.385   19.385        2 
      19   39.646   19.646       13 
