
 Count of not schedulable tasksets: 57 
 Mean of utilization:    0.549 
 Median of utilization:    0.547 
 Indiv. Chain Reaction time and WCRT in multi-chain model without deadline miss termination 
  chnPrio   ReactT     WCRT   origID 
Min. utilization: 0.516 
       1    2.400    0.400        1 
       2    3.400    1.400        7 
       3    7.140    3.140       26 
       4 2838.123 1419.061       27 
       5   17.397    7.397       35 
       6   17.775    7.775       16 
       7   36.827   16.827        6 
       8   37.205   17.205       15 
       9   37.574   17.574       10 
      10   37.828   17.828       30 
      11   38.604   18.604       31 
      12   38.667   18.667       33 
      13   38.749   18.749       22 
      14   77.020   37.020       20 
      15   77.468   37.468       24 
      16   77.556   37.556        3 
      17   77.602   37.602       12 
      18  377.804  188.902       28 
      19   78.802   38.802        8 
      20  196.682   96.682        9 
      21  197.231   97.231       19 
      22  197.518   97.518       14 
      23  394.581  194.581       34 
      24  394.673  194.673       21 
      25  394.735  194.735       25 
      26  394.959  194.959        4 
      27  395.126  195.126       11 
      28  395.340  195.340       23 
      29 3936.624 1936.624       18 
      30 3936.630 1936.630       29 
      31 3936.635 1936.635        5 
      32 3936.639 1936.639       17 
      33 3936.644 1936.644        2 
      34 3936.648 1936.648       13 
      35 3936.650 1936.650       32 

Min. utilization: 0.449 
       1    4.104    0.104       17 
       2  205.404  102.702        2 
       3   15.408    5.408       23 
       4   31.068   11.068       11 
       5   31.689   11.689       13 
       6 3131.791 1131.791        7 
       7   32.468   12.468       12 
       8  230.840  115.420       22 
       9   34.209   14.209       10 
      10  159.730   59.730        4 
      11 3187.309 1187.309       14 
      12   67.676   27.676       24 
      13   68.234   28.234       25 
      14   68.488   28.488        8 
      15   68.674   28.674       21 
      16   69.076   29.076       20 
      17  165.867   65.867        1 
      18  166.077   66.077       15 
      19  330.494  130.494       26 
      20  330.533  130.533        3 
      21  330.936  130.936        5 
      22  331.249  131.249       16 
      23 3257.467 1257.467       19 
      24 3257.470 1257.470       18 
      25 3257.475 1257.475        9 
      26 3257.479 1257.479        6 

Min. utilization: 0.555 
       1    2.016    0.016        9 
       2    5.032    2.032       32 
       3    5.123    2.123       38 
       4  307.047  107.047        7 
       5  135.004   55.004       16 
       6  309.529  109.529       36 
       7    8.568    4.284       18 
       8    8.793    4.396       33 
       9   17.734    7.734       26 
      10  268.827  134.414       31 
      11   19.778    9.778        4 
      12   28.204   14.102       21 
      13   34.109   17.055       34 
      14   39.753   19.877       14 
      15   74.857   37.428       17 
      16   77.847   38.924       24 
      17  157.396   78.698        1 
      18  178.334   89.167       29 
      19 15197.154 7598.577       27 
      20 1556.986  778.493       35 
      21  357.867  178.934       37 
      22 1658.164  829.082        2 
      23  859.902  429.951       12 
      24  879.105  439.552       28 
      25  917.999  458.999        5 
      26  938.550  469.275       40 
      27  957.630  478.815        6 
      28  996.606  498.303       25 
      29 1956.931  978.465       11 
      30 1957.406  978.703       42 
      31 1959.474  979.737       15 
      32 1977.875  988.938       19 
      33 19478.622 9739.311       20 
      34 19497.635 9748.817       13 
      35 19497.679 9748.840       10 
      36 19497.705 9748.852        8 
      37 19497.739 9748.869       41 
      38 19497.774 9748.887        3 
      39 19497.819 9748.910       22 
      40 19497.847 9748.923       30 
      41 19497.882 9748.941       39 
      42 19497.919 9748.959       23 

Min. utilization: 0.550 
       1    2.182    0.182        7 
       2   31.091   11.091        9 
       3   31.770   11.770        1 
       4   32.696   12.696       17 
       5   33.049   13.049        6 
       6   33.624   13.624       10 
       7   68.307   28.307       11 
       8   34.691   14.691        8 
       9  335.475  135.475        5 
      10   69.796   29.796        2 
      11   69.961   29.961       18 
      12   70.634   30.634       15 
      13   70.663   30.663       14 
      14   71.244   31.244        4 
      15  173.831   73.831       16 
      16  348.212  148.212        3 
      17 3446.337 1446.337       12 
      18 3446.342 1446.342       13 

Min. utilization: 0.520 
       1    2.161    0.161        9 
       2    3.161    1.161       13 
