chn_id  data_age  reduc_da  react_t 
Task set : 1
    1   100.239     0.239   100.239
    2   220.443   219.443   220.443
    3   100.223    51.533   100.223
    4   100.223    51.533   100.223
    5    53.012    33.012    53.012
    6     1.155     0.155     1.155
    7    19.894     9.894    19.894
    8   100.477    99.477   100.477
    9    47.088    37.088    47.088
   10    19.871     9.871    19.871
   11   100.223    51.533   100.223
   12   299.683   199.683   299.683
   13    12.269     2.269    12.269
   14    40.185    20.185    40.185
   15   159.921   149.921   159.921
   16   300.517   200.517   300.517
   17    20.843    19.843    20.843
   18    41.013    21.013    41.013
   19   100.062    51.372   100.062
   20   100.000    51.310   100.000
   21   100.056     0.056   100.056
