         T          C          D    ID   Priority
Task set 0 
       1.0      0.038        1.0     0          0 
       1.0  0.1166609        1.0     1          1 
       5.0  0.0285494        5.0     2          2 
      10.0  0.1951193       10.0     3          3 
      10.0  0.1062814       10.0     4          4 
      10.0  0.0044824       10.0     5          5 
      10.0  0.0182208       10.0     6          6 
      10.0  0.0086152       10.0     7          7 
      10.0  0.0074506       10.0     8          8 
      10.0  0.0504774       10.0     9          9 
      10.0  0.0211146       10.0    10         10 
      10.0  0.0875178       10.0    11         11 
      10.0  0.2629438       10.0    12         12 
      10.0  0.0667024       10.0    13         13 
      10.0  0.0190354       10.0    14         14 
      10.0  0.5972259       10.0    15         15 
      10.0  0.0781596       10.0    16         16 
      10.0  0.1791582       10.0    17         17 
      10.0   0.070243       10.0    18         18 
      10.0  0.6407862       10.0    19         19 
      10.0  0.2245653       10.0    20         20 
      10.0  0.1694541       10.0    21         21 
      20.0  0.0416752       20.0    22         22 
      20.0  0.0456152       20.0    23         23 
      20.0  0.0527018       20.0    24         24 
      20.0  0.1322486       20.0    25         25 
      20.0  0.0255011       20.0    26         26 
      20.0  0.0099048       20.0    27         27 
      20.0  0.0819168       20.0    28         28 
      20.0  0.0350955       20.0    29         29 
      20.0  0.1446608       20.0    30         30 
      20.0   0.586367       20.0    31         31 
      50.0  0.1721681       50.0    32         32 
      50.0   0.050352       50.0    33         33 
      50.0  0.0117872       50.0    34         34 
     100.0  0.0365401      100.0    35         35 
     100.0   0.018797      100.0    36         36 
     100.0  0.0087677      100.0    37         37 
     100.0  0.0351649      100.0    38         38 
     100.0  0.0117721      100.0    39         39 
     100.0  0.0670695      100.0    40         40 
     100.0  0.1434529      100.0    41         41 
     100.0  0.0400743      100.0    42         42 
     100.0  0.0102827      100.0    43         43 
     100.0  0.0145069      100.0    44         44 
    1000.0  0.0009734     1000.0    45         45 
